	G1-110	G1-157	G1-158	G1-159	G1-19	G2-41	G3-42	G3-43	G3-44	G3-45	G3-46
G1-110	0.0	0.07900189068833169	0.06041727564309515	0.010845827331485087	0.06316342100953826	0.014445835011248008	0.021952877319537857	0.025608368211908972	0.02072608104268652	0.09093065672926022	0.07820129686319838
G1-157	0.07900189068833169	0.0	0.13668077490992223	0.08820315330495293	0.028205437573052154	0.088996232511392	0.09483886971037953	0.10169818239010911	0.09449972403749067	0.1658045641109904	0.152425855667378
G1-158	0.06041727564309515	0.13668077490992223	0.0	0.05180376884709843	0.12312068274693286	0.04959935783743427	0.045113621488205	0.03728248807409682	0.044680268002685444	0.03246889203969238	0.020580335898276222
G1-159	0.010845827331485087	0.08820315330495293	0.05180376884709843	0.0	0.07288495912018145	0.0063743826133626285	0.013694532033991525	0.016793298930546943	0.012179400720459284	0.08135788041976809	0.07040761885983585
G1-19	0.06316342100953826	0.028205437573052154	0.12312068274693286	0.07288495912018145	0.0	0.07682429024420785	0.08393433863460772	0.0876324596607809	0.08269117424776636	0.15232946430338556	0.14061282629672975
G2-41	0.014445835011248008	0.088996232511392	0.04959935783743427	0.0063743826133626285	0.07682429024420785	0.0	0.008621146641673832	0.01399659435183259	0.007446068993304968	0.07823800317991852	0.06588586255288591
G3-42	0.021952877319537857	0.09483886971037953	0.045113621488205	0.013694532033991525	0.08393433863460772	0.008621146641673832	0.0	0.00974812748892711	0.0021937396323832804	0.07347408476613221	0.05901749165948864
G3-43	0.025608368211908972	0.10169818239010911	0.03728248807409682	0.016793298930546943	0.0876324596607809	0.01399659435183259	0.00974812748892711	0.0	0.00866382752271613	0.0661253409806544	0.054565125397634855
G3-44	0.02072608104268652	0.09449972403749067	0.044680268002685444	0.012179400720459284	0.08269117424776636	0.007446068993304968	0.0021937396323832804	0.00866382752271613	0.0	0.07251696041081171	0.05930164020298239
G3-45	0.09093065672926022	0.1658045641109904	0.03246889203969238	0.08135788041976809	0.15232946430338556	0.07823800317991852	0.07347408476613221	0.0661253409806544	0.07251696041081171	0.0	0.01504862569277288
G3-46	0.07820129686319838	0.152425855667378	0.020580335898276222	0.07040761885983585	0.14061282629672975	0.06588586255288591	0.05901749165948864	0.054565125397634855	0.05930164020298239	0.01504862569277288	0.0
