	G1-115	G1-116	G1-161	G1-162	G2-410	G2-411	G2-412	G3-47	G3-48	G3-49
G1-115	0.0	0.22316636325361125	0.4287442136849109	0.2914316279865659	0.43244621360739777	0.3842161487644014	0.3618948420694408	0.3406704581537602	0.256888667124776	0.5290147439595394
G1-116	0.22316636325361125	0.0	0.35137976858333914	0.4626384449630152	0.33295128305888105	0.26532160043341046	0.31865188021238006	0.23425313864593938	0.18979278035822034	0.6053698945886771
G1-161	0.4287442136849109	0.35137976858333914	0.0	0.5111681549159593	0.41129107241610474	0.4182990170001538	0.1874525006561066	0.2891074123910046	0.29720768338927184	0.598463773319309
G1-162	0.2914316279865659	0.4626384449630152	0.5111681549159593	0.0	0.3963915153531873	0.3415429444465646	0.4546749536399845	0.4258753480765496	0.3681813382190234	0.48004840280784256
G2-410	0.43244621360739777	0.33295128305888105	0.41129107241610474	0.3963915153531873	0.0	0.12026765898510901	0.3792836817222865	0.34997848884329946	0.2691465029944765	0.6721451318634051
G2-411	0.3842161487644014	0.26532160043341046	0.4182990170001538	0.3415429444465646	0.12026765898510901	0.0	0.3217269646636149	0.2859231702915884	0.18634615347358996	0.6566086188878295
G2-412	0.3618948420694408	0.31865188021238006	0.1874525006561066	0.4546749536399845	0.3792836817222865	0.3217269646636149	0.0	0.2912759904249512	0.1938577688292201	0.6107490526930657
G3-47	0.3406704581537602	0.23425313864593938	0.2891074123910046	0.4258753480765496	0.34997848884329946	0.2859231702915884	0.2912759904249512	0.0	0.1565961352223825	0.5251656587073957
G3-48	0.256888667124776	0.18979278035822034	0.29720768338927184	0.3681813382190234	0.2691465029944765	0.18634615347358996	0.1938577688292201	0.1565961352223825	0.0	0.5866745654847083
G3-49	0.5290147439595394	0.6053698945886771	0.598463773319309	0.48004840280784256	0.6721451318634051	0.6566086188878295	0.6107490526930657	0.5251656587073957	0.5866745654847083	0.0
