	G1-175	G1-176	G1-180	G1-181	G1-182	G2-1103	G2-1104	G2-197	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-23	G2-24	G2-25	G2-26	G2-27	G2-28	G2-29
G1-175	0.0	0.5799658589355646	0.5662145106133638	0.5522225063088676	0.5799658589355646	0.44447863025790685	0.3787559658553103	0.4603777000534765	0.6366433408912586	0.5554935163077807	0.6190752591713365	0.49466448557102	0.42269679084779627	0.5626338724921862	0.6132372065982401	0.6132372065982401	0.45718648078334495	0.5454747642759603	0.5671449368320003	0.5863623017977154	0.5834575671928302
G1-176	0.5799658589355646	0.0	0.17662456647069832	0.06195789877245084	0.0	0.3353498383186101	0.3996106013873959	0.27239324446023916	0.15275030872924306	0.2846776082288279	0.20780071811407502	0.22084991424372166	0.35427337950699583	0.06720677900102139	0.1805954101994886	0.1805954101994886	0.3709875019390694	0.3445926367199165	0.08849244161580833	0.035508491960919285	0.3754039989218046
G1-180	0.5662145106133638	0.17662456647069832	0.0	0.2190934942121233	0.17662456647069832	0.4082836658003799	0.3909841857526788	0.27264908282136147	0.2730484406352953	0.2920813695628111	0.214626622272999	0.2764124457569465	0.3484148002610289	0.11730122497298545	0.21738923083386238	0.21738923083386238	0.3572465965081284	0.3469273890069484	0.10753402162394908	0.17448144911014601	0.44067531477097327
G1-181	0.5522225063088676	0.06195789877245084	0.2190934942121233	0.0	0.06195789877245084	0.36330110913063063	0.4225114077487799	0.22433464917236284	0.20349177611322153	0.31694982349938	0.25233581104704733	0.25898481165410736	0.38068730936333267	0.12134196297183916	0.2281500206070097	0.2281500206070097	0.3960782880396202	0.3753743284465962	0.1402537127701393	0.09327152793663789	0.40342142228459366
G1-182	0.5799658589355646	0.0	0.17662456647069832	0.06195789877245084	0.0	0.3353498383186101	0.3996106013873959	0.27239324446023916	0.15275030872924306	0.2846776082288279	0.20780071811407502	0.22084991424372166	0.35427337950699583	0.06720677900102139	0.1805954101994886	0.1805954101994886	0.3709875019390694	0.3445926367199165	0.08849244161580833	0.035508491960919285	0.3754039989218046
G2-1103	0.44447863025790685	0.3353498383186101	0.4082836658003799	0.36330110913063063	0.3353498383186101	0.0	0.19878091669169384	0.26244528585631993	0.4067427819193947	0.4560528727137065	0.4336115045516862	0.2329173915880446	0.14980622813340935	0.36572365250070965	0.4428251206776387	0.4428251206776387	0.3432091961312927	0.32570197753531255	0.36460534753289403	0.3267061088451519	0.34841392645027347
G2-1104	0.3787559658553103	0.3996106013873959	0.3909841857526788	0.4225114077487799	0.3996106013873959	0.19878091669169384	0.0	0.25148916620025974	0.4569373904879846	0.4440435791418505	0.4138599778064143	0.2661911702133406	0.14907188987065015	0.35635317121021237	0.42933540410192056	0.42933540410192056	0.34018519206706405	0.31868018593039343	0.34822528398484826	0.3842588760265117	0.3988410838627066
G2-197	0.4603777000534765	0.27239324446023916	0.27264908282136147	0.22433464917236284	0.27239324446023916	0.26244528585631993	0.25148916620025974	0.0	0.33405238690670985	0.3475403652701512	0.2816290788054341	0.1052431071067679	0.20285407011010362	0.21996993635896336	0.30841647756887375	0.30841647756887375	0.22513083949893312	0.17937500231504944	0.201754556122856	0.24560584569679947	0.27827748752992515
G2-198	0.6366433408912586	0.15275030872924306	0.2730484406352953	0.20349177611322153	0.15275030872924306	0.4067427819193947	0.4569373904879846	0.33405238690670985	0.0	0.36196922392402436	0.07297526466425178	0.3024591251247446	0.4210058105050163	0.20780071811407502	0.11026435581913235	0.11026435581913235	0.43827025425627264	0.2692221789032216	0.18522388867632103	0.11724181676832378	0.28765849093831597
G2-21	0.5554935163077807	0.2846776082288279	0.2920813695628111	0.31694982349938	0.2846776082288279	0.4560528727137065	0.4440435791418505	0.3475403652701512	0.36196922392402436	0.0	0.310950311822839	0.3649960112837829	0.41899521046868876	0.23313937572885154	0.32009265223495914	0.32009265223495914	0.32238736675103646	0.40797288386726344	0.23321559038950365	0.27589212434601296	0.4943163935203929
G2-210	0.6190752591713365	0.20780071811407502	0.214626622272999	0.25233581104704733	0.20780071811407502	0.4336115045516862	0.4138599778064143	0.2816290788054341	0.07297526466425178	0.310950311822839	0.0	0.3011871993301807	0.37483313382573547	0.14282529239009042	0.03728909115488058	0.03728909115488058	0.39335260827847457	0.21078692653289915	0.1202484629523364	0.17459940553513315	0.32548235742487347
G2-211	0.49466448557102	0.22084991424372166	0.2764124457569465	0.25898481165410736	0.22084991424372166	0.2329173915880446	0.2661911702133406	0.1052431071067679	0.3024591251247446	0.3649960112837829	0.3011871993301807	0.0	0.2041228706840559	0.22211935267325777	0.31386888509052213	0.31386888509052213	0.23984130280471358	0.19544899728321247	0.20322372830396626	0.20860854982922217	0.2473404215375506
G2-212	0.42269679084779627	0.35427337950699583	0.3484148002610289	0.38068730936333267	0.35427337950699583	0.14980622813340935	0.14907188987065015	0.20285407011010362	0.4210058105050163	0.41899521046868876	0.37483313382573547	0.2041228706840559	0.0	0.30774944976394586	0.38624279210159784	0.38624279210159784	0.3049202320719783	0.281503479965262	0.2915839100252018	0.34310508850562577	0.3626782417476863
G2-22	0.5626338724921862	0.06720677900102139	0.11730122497298545	0.12134196297183916	0.06720677900102139	0.36572365250070965	0.35635317121021237	0.21996993635896336	0.20780071811407502	0.23313937572885154	0.14282529239009042	0.22211935267325777	0.30774944976394586	0.0	0.11338863119846722	0.11338863119846722	0.3256678072903583	0.29083675303572776	0.02281927241279795	0.09817673830292649	0.4058419806413836
G2-23	0.6132372065982401	0.1805954101994886	0.21738923083386238	0.2281500206070097	0.1805954101994886	0.4428251206776387	0.42933540410192056	0.30841647756887375	0.11026435581913235	0.32009265223495914	0.03728909115488058	0.31386888509052213	0.38624279210159784	0.11338863119846722	0.0	0.0	0.4021294115947656	0.22010425656037116	0.13362045754743307	0.20780071811407502	0.3526144811976545
G2-24	0.6132372065982401	0.1805954101994886	0.21738923083386238	0.2281500206070097	0.1805954101994886	0.4428251206776387	0.42933540410192056	0.30841647756887375	0.11026435581913235	0.32009265223495914	0.03728909115488058	0.31386888509052213	0.38624279210159784	0.11338863119846722	0.0	0.0	0.4021294115947656	0.22010425656037116	0.13362045754743307	0.20780071811407502	0.3526144811976545
G2-25	0.45718648078334495	0.3709875019390694	0.3572465965081284	0.3960782880396202	0.3709875019390694	0.3432091961312927	0.34018519206706405	0.22513083949893312	0.43827025425627264	0.32238736675103646	0.39335260827847457	0.23984130280471358	0.3049202320719783	0.3256678072903583	0.4021294115947656	0.4021294115947656	0.0	0.287187812661471	0.32491405179572697	0.3624869706383737	0.37972036165349776
G2-26	0.5454747642759603	0.3445926367199165	0.3469273890069484	0.3753743284465962	0.3445926367199165	0.32570197753531255	0.31868018593039343	0.17937500231504944	0.2692221789032216	0.40797288386726344	0.21078692653289915	0.19544899728321247	0.281503479965262	0.29083675303572776	0.22010425656037116	0.22010425656037116	0.287187812661471	0.0	0.2903100765923159	0.3348036580017107	0.22040275765127945
G2-27	0.5671449368320003	0.08849244161580833	0.10753402162394908	0.1402537127701393	0.08849244161580833	0.36460534753289403	0.34822528398484826	0.201754556122856	0.18522388867632103	0.23321559038950365	0.1202484629523364	0.20322372830396626	0.2915839100252018	0.02281927241279795	0.13362045754743307	0.13362045754743307	0.32491405179572697	0.2903100765923159	0.0	0.07559990886517248	0.38890911467084255
G2-28	0.5863623017977154	0.035508491960919285	0.17448144911014601	0.09327152793663789	0.035508491960919285	0.3267061088451519	0.3842588760265117	0.24560584569679947	0.11724181676832378	0.27589212434601296	0.17459940553513315	0.20860854982922217	0.34310508850562577	0.09817673830292649	0.20780071811407502	0.20780071811407502	0.3624869706383737	0.3348036580017107	0.07559990886517248	0.0	0.34922699076044095
G2-29	0.5834575671928302	0.3754039989218046	0.44067531477097327	0.40342142228459366	0.3754039989218046	0.34841392645027347	0.3988410838627066	0.27827748752992515	0.28765849093831597	0.4943163935203929	0.32548235742487347	0.2473404215375506	0.3626782417476863	0.4058419806413836	0.3526144811976545	0.3526144811976545	0.37972036165349776	0.22040275765127945	0.38890911467084255	0.34922699076044095	0.0
